Global Inputs
Study Type,Direct Sun - Day
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.75,1,1,1.25,1.5,1.75,1.75,2,2.25,2.25,2.5,2.5,2.5,2.25,2.25,2,2.25,2,1.75,1.75,1.75,1.5,1.25,1.25,1,1,1,1,0.75,0.75,0.5,0.75,0.75,0.5,0.5
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.75,0.75,1,1.25,1.5,1.5,1.75,2,2,2.25,2.25,2.5,2.5,2.25,2,2.25,2,2,1.75,1.75,1.75,1.5,1.5,1.25,1.25,1,0.75,1,1,0.75,0.75,0.5,0.5,0.5,0.25
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.75,0.75,1,1.25,1.5,1.5,1.75,1.75,2,2.25,2.25,2.5,2.25,2.25,2,2.25,2,1.75,1.75,1.75,1.5,1.75,1.5,1.25,1.25,1,1,0.75,1,0.75,0.75,0.75,0.5,0.5,0.5
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.5,0.75,1,1.25,1.25,1.5,1.75,1.75,2,2,2.25,2.5,2.25,2,2.25,2,2,1.75,2,1.75,1.5,1.75,1.5,1.5,1.25,1,1,1,0.75,0.75,0.5,0.5,0.25,0.25,0.25
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.5,0.75,1,1.25,1.25,1.5,1.5,1.75,2,2,2.25,2.25,2.25,2,2.25,2,2,1.75,1.75,1.75,1.75,1.5,1.5,1.5,1.25,1.25,1,1,0.75,0.75,0.5,0.5,0.5,0.25,0.25
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.5,0.75,1,1,1.25,1.5,1.5,1.75,1.75,2,2.25,2.25,2.25,2,2,2,1.75,2,1.75,1.5,1.75,1.5,1.5,1.5,1.25,1.25,1,1,1,0.75,0.75,0.5,0.5,0.5,0.25
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.5,0.75,1,1,1.25,1.5,1.5,1.75,1.75,2,2,2.25,2,2,2,2,1.75,1.75,1.75,1.5,1.5,1.5,1.5,1.25,1.5,1.25,1.25,1,1,0.75,0.75,0.75,0.5,0.5,0.5
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.5,0.75,1,1,1.25,1.25,1.5,1.75,1.75,2,2,2.25,2,2,2,1.75,1.75,1.75,1.75,1.75,1.5,1.5,1.5,1.25,1.25,1,1,0.75,0.75,0.75,0.5,0.5,0.25,0.25,0.25
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.5,0.75,0.75,1,1.25,1.25,1.5,1.5,1.75,1.75,2,2,2,1.75,2,1.75,2,1.75,1.5,1.75,1.5,1.5,1.5,1.5,1.25,1.25,1,1,0.75,0.75,0.5,0.5,0.5,0.25,0.25
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.75,0.75,1,1.25,1.25,1.5,1.5,1.75,1.75,2,2,2,2,2,1.75,1.75,1.75,1.5,1.5,1.5,1.5,1.25,1.5,1.25,1.25,1,1,0.75,0.75,0.75,0.5,0.5,0.5,0.25
